img_name,labels
L15-0603E-1069N_1512,agriculture clear haze primary
L15-0603E-1069N_1513,agriculture clear cultivation haze primary
L15-0603E-1069N_1514,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_1515,agriculture clear haze primary water
L15-0603E-1069N_152,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_153,agriculture clear cultivation haze primary water
L15-0603E-1069N_154,agriculture clear haze primary road water
L15-0603E-1069N_155,agriculture clear habitation primary road water
L15-0603E-1069N_156,agriculture clear habitation haze primary road water
L15-0603E-1069N_157,agriculture clear haze primary road
L15-0603E-1069N_158,agriculture clear haze primary road water
L15-0603E-1069N_159,agriculture clear haze primary water
L15-0603E-1069N_16,agriculture clear haze primary
L15-0603E-1069N_17,agriculture clear haze primary water
L15-0603E-1069N_18,agriculture clear haze primary road water
L15-0603E-1069N_19,agriculture clear haze primary water
L15-0603E-1069N_20,agriculture clear cultivation habitation haze primary water
L15-0603E-1069N_21,agriculture clear cultivation haze primary water
L15-0603E-1069N_210,agriculture clear haze primary water
L15-0603E-1069N_211,agriculture clear haze primary water
L15-0603E-1069N_212,agriculture clear habitation haze primary water
L15-0603E-1069N_213,agriculture clear primary road
L15-0603E-1069N_214,agriculture clear haze primary
L15-0603E-1069N_215,agriculture clear haze primary water
L15-0603E-1069N_22,agriculture clear haze primary road water
L15-0603E-1069N_23,agriculture clear cultivation haze primary road water
L15-0603E-1069N_24,agriculture clear cultivation haze primary road water
L15-0603E-1069N_25,agriculture clear primary
L15-0603E-1069N_26,agriculture clear habitation primary
L15-0603E-1069N_27,agriculture clear haze primary water
L15-0603E-1069N_28,agriculture clear habitation haze primary road water
L15-0603E-1069N_29,agriculture clear haze primary road water
L15-0603E-1069N_30,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_31,agriculture clear cultivation haze primary road water
L15-0603E-1069N_310,agriculture clear habitation haze primary water
L15-0603E-1069N_311,agriculture clear cultivation haze primary
L15-0603E-1069N_312,agriculture clear haze primary water
L15-0603E-1069N_313,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_314,agriculture clear cultivation haze primary
L15-0603E-1069N_315,agriculture clear haze primary
L15-0603E-1069N_32,agriculture clear cultivation haze primary road water
L15-0603E-1069N_33,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_34,agriculture clear cultivation haze primary road
L15-0603E-1069N_35,agriculture clear primary road water
L15-0603E-1069N_36,agriculture clear haze primary
L15-0603E-1069N_37,agriculture clear haze primary water
L15-0603E-1069N_38,agriculture clear haze primary water
L15-0603E-1069N_39,agriculture clear habitation haze primary road water
L15-0603E-1069N_40,agriculture clear habitation primary road water
L15-0603E-1069N_41,agriculture clear habitation haze primary road
L15-0603E-1069N_410,agriculture clear haze primary road water
L15-0603E-1069N_411,agriculture clear cultivation habitation haze primary water
L15-0603E-1069N_412,agriculture clear habitation haze primary water
L15-0603E-1069N_413,agriculture clear habitation haze primary road water
L15-0603E-1069N_414,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_415,agriculture clear habitation haze primary road
L15-0603E-1069N_42,agriculture clear cultivation habitation primary road
L15-0603E-1069N_43,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_44,agriculture cultivation haze primary water
L15-0603E-1069N_45,agriculture clear habitation haze primary road water
L15-0603E-1069N_46,agriculture clear haze primary road water
L15-0603E-1069N_47,agriculture haze primary road water
L15-0603E-1069N_48,agriculture clear habitation haze primary road water
L15-0603E-1069N_49,agriculture clear habitation haze primary road water
L15-0603E-1069N_50,agriculture clear cultivation habitation primary road water
L15-0603E-1069N_51,agriculture clear cultivation habitation primary road
L15-0603E-1069N_510,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_511,agriculture clear habitation haze primary water
L15-0603E-1069N_512,agriculture clear haze primary water
L15-0603E-1069N_513,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_514,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_515,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_52,agriculture clear cultivation habitation haze primary water
L15-0603E-1069N_53,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_54,agriculture clear haze primary water
L15-0603E-1069N_55,agriculture clear haze primary water
L15-0603E-1069N_56,agriculture clear haze primary water
L15-0603E-1069N_57,agriculture clear haze primary water
L15-0603E-1069N_58,agriculture clear habitation haze primary road water
L15-0603E-1069N_59,agriculture clear haze primary water
L15-0603E-1069N_60,agriculture clear haze primary road
L15-0603E-1069N_61,agriculture clear cultivation habitation primary road
L15-0603E-1069N_610,agriculture clear haze primary water
L15-0603E-1069N_611,agriculture clear cultivation haze primary water
L15-0603E-1069N_612,agriculture clear haze primary water
L15-0603E-1069N_613,agriculture clear haze primary water
L15-0603E-1069N_614,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_615,agriculture clear habitation haze primary road water
L15-0603E-1069N_62,agriculture clear cultivation primary
L15-0603E-1069N_63,agriculture cultivation haze primary
L15-0603E-1069N_64,clear cloudy water
L15-0603E-1069N_65,clear cloudy water
L15-0603E-1069N_66,clear cloudy water
L15-0603E-1069N_67,agriculture clear cultivation habitation haze primary water
L15-0603E-1069N_68,agriculture clear habitation haze primary road water
L15-0603E-1069N_69,agriculture clear haze primary water
L15-0603E-1069N_70,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_71,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_710,agriculture clear primary road water
L15-0603E-1069N_711,agriculture clear habitation haze primary road water
L15-0603E-1069N_712,agriculture clear haze primary water
L15-0603E-1069N_713,agriculture clear habitation haze primary road water
L15-0603E-1069N_714,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_715,agriculture clear habitation haze primary road
L15-0603E-1069N_72,agriculture clear cultivation haze primary slash_burn
L15-0603E-1069N_73,agriculture clear primary
L15-0603E-1069N_74,clear cloudy primary water
L15-0603E-1069N_75,clear cloudy water
L15-0603E-1069N_76,clear cloudy water
L15-0603E-1069N_77,agriculture clear habitation primary road water
L15-0603E-1069N_78,agriculture clear habitation haze primary road water
L15-0603E-1069N_79,agriculture clear habitation haze primary road water
L15-0603E-1069N_80,agriculture clear cultivation primary road
L15-0603E-1069N_81,agriculture clear cultivation primary
L15-0603E-1069N_810,agriculture clear haze primary water
L15-0603E-1069N_811,agriculture clear haze primary road water
L15-0603E-1069N_812,agriculture clear habitation haze primary road water
L15-0603E-1069N_813,agriculture clear habitation haze primary road water
L15-0603E-1069N_814,agriculture clear haze primary water
L15-0603E-1069N_815,agriculture clear haze primary
L15-0603E-1069N_82,agriculture clear cultivation primary
L15-0603E-1069N_83,agriculture clear habitation haze primary water
L15-0603E-1069N_84,agriculture clear cultivation habitation haze primary water
L15-0603E-1069N_85,agriculture clear habitation haze primary water
L15-0603E-1069N_86,agriculture clear cultivation haze primary water
L15-0603E-1069N_87,agriculture clear cultivation habitation primary road
L15-0603E-1069N_88,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_89,agriculture clear haze primary water
L15-0603E-1069N_90,agriculture clear haze primary water
L15-0603E-1069N_91,agriculture clear cultivation habitation primary road
L15-0603E-1069N_910,agriculture clear primary water
L15-0603E-1069N_911,agriculture clear haze primary water
L15-0603E-1069N_912,agriculture clear habitation haze primary road
L15-0603E-1069N_913,agriculture clear haze primary road water
L15-0603E-1069N_914,agriculture clear habitation primary water
L15-0603E-1069N_915,agriculture clear cultivation haze primary
L15-0603E-1069N_92,agriculture clear primary road
L15-0603E-1069N_93,agriculture clear habitation haze primary water
L15-0603E-1069N_94,agriculture clear habitation haze primary road water
L15-0603E-1069N_95,agriculture clear habitation haze primary road water
L15-0603E-1069N_96,agriculture clear haze primary road water
L15-0603E-1069N_97,agriculture clear cultivation habitation primary road
L15-0603E-1069N_98,agriculture clear haze primary water
L15-0603E-1069N_99,agriculture clear haze primary water
L15-0603E-1070N_00,agriculture cultivation haze primary water
L15-0603E-1070N_01,agriculture cultivation haze primary
L15-0603E-1070N_010,agriculture clear haze primary water
L15-0603E-1070N_011,agriculture clear cultivation haze primary
L15-0603E-1070N_012,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_013,agriculture clear haze primary
L15-0603E-1070N_014,agriculture clear haze primary
L15-0603E-1070N_015,agriculture clear primary water
L15-0603E-1070N_02,agriculture clear haze primary road
L15-0603E-1070N_03,agriculture clear cultivation primary
L15-0603E-1070N_04,agriculture clear cultivation haze primary
L15-0603E-1070N_05,agriculture clear haze primary water
L15-0603E-1070N_06,agriculture clear haze primary water
L15-0603E-1070N_07,agriculture clear cultivation haze primary water
L15-0603E-1070N_08,agriculture clear habitation haze primary road water
L15-0603E-1070N_09,agriculture clear haze primary water
L15-0603E-1070N_10,agriculture cultivation haze primary
L15-0603E-1070N_100,agriculture cultivation habitation haze primary road
L15-0603E-1070N_101,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_1010,agriculture clear habitation haze primary road water
L15-0603E-1070N_1011,agriculture clear habitation primary road
L15-0603E-1070N_1012,agriculture clear primary
L15-0603E-1070N_1013,agriculture clear haze primary
L15-0603E-1070N_1014,agriculture clear haze primary water
L15-0603E-1070N_1015,agriculture clear haze primary
L15-0603E-1070N_102,agriculture clear cultivation haze primary road
L15-0603E-1070N_103,agriculture cultivation haze primary
L15-0603E-1070N_104,agriculture clear cultivation haze primary
L15-0603E-1070N_105,agriculture clear haze primary
L15-0603E-1070N_106,agriculture clear habitation primary
L15-0603E-1070N_107,agriculture clear haze primary water
L15-0603E-1070N_108,agriculture clear habitation haze primary water
L15-0603E-1070N_109,agriculture clear haze primary water
L15-0603E-1070N_11,agriculture clear cultivation haze primary
L15-0603E-1070N_110,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_111,agriculture clear cultivation haze primary road water
L15-0603E-1070N_1110,agriculture clear primary water
L15-0603E-1070N_1111,agriculture clear habitation haze primary road water
L15-0603E-1070N_1112,agriculture clear haze primary
L15-0603E-1070N_1113,agriculture clear haze primary road water
L15-0603E-1070N_1114,agriculture clear habitation haze primary road
L15-0603E-1070N_1115,agriculture clear habitation haze primary road water
L15-0603E-1070N_112,agriculture clear haze primary
L15-0603E-1070N_113,agriculture clear haze primary water
L15-0603E-1070N_114,agriculture clear cultivation haze primary
L15-0603E-1070N_115,agriculture clear haze primary road
L15-0603E-1070N_116,agriculture clear cultivation habitation primary water
L15-0603E-1070N_117,agriculture clear haze primary water
L15-0603E-1070N_118,agriculture clear primary water
L15-0603E-1070N_119,agriculture clear habitation haze primary road water
L15-0603E-1070N_12,agriculture clear haze primary road
L15-0603E-1070N_120,agriculture cultivation haze primary water
L15-0603E-1070N_121,agriculture clear cultivation haze primary
L15-0603E-1070N_1210,agriculture clear haze primary water
L15-0603E-1070N_1211,agriculture clear habitation primary road water
L15-0603E-1070N_1212,agriculture clear haze primary road water
L15-0603E-1070N_1213,agriculture clear habitation haze primary road water
L15-0603E-1070N_1214,agriculture clear cultivation haze primary water
L15-0603E-1070N_1215,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_122,agriculture clear cultivation haze primary water
L15-0603E-1070N_123,agriculture clear cultivation haze primary
L15-0603E-1070N_124,agriculture clear haze primary
L15-0603E-1070N_125,agriculture clear haze primary
L15-0603E-1070N_126,agriculture clear habitation haze primary water
L15-0603E-1070N_127,agriculture clear haze primary water
L15-0603E-1070N_128,agriculture clear haze primary road water
L15-0603E-1070N_129,agriculture clear haze primary road water
L15-0603E-1070N_13,agriculture clear haze primary
L15-0603E-1070N_130,agriculture clear cultivation haze primary road water
L15-0603E-1070N_131,agriculture clear cultivation haze primary
L15-0603E-1070N_1310,agriculture clear habitation haze primary road water
L15-0603E-1070N_1311,agriculture clear habitation haze primary road water
L15-0603E-1070N_1312,agriculture clear haze primary water
L15-0603E-1070N_1313,agriculture clear haze primary water
L15-0603E-1070N_1314,agriculture clear habitation haze primary water
L15-0603E-1070N_1315,agriculture clear haze primary
L15-0603E-1070N_132,agriculture clear cultivation haze primary
L15-0603E-1070N_133,agriculture cultivation haze primary road
L15-0603E-1070N_134,agriculture clear cultivation haze primary water
L15-0603E-1070N_135,agriculture clear cultivation haze primary
L15-0603E-1070N_136,agriculture clear primary
L15-0603E-1070N_137,agriculture clear haze primary road water
L15-0603E-1070N_138,agriculture clear haze primary water
L15-0603E-1070N_139,agriculture clear habitation haze primary road water
L15-0603E-1070N_14,agriculture clear cultivation primary
L15-0603E-1070N_140,agriculture cultivation haze primary road
L15-0603E-1070N_141,agriculture clear cultivation haze primary road water
L15-0603E-1070N_1410,agriculture clear haze primary water
L15-0603E-1070N_1411,agriculture clear habitation haze primary water
L15-0603E-1070N_1412,agriculture clear haze primary water
L15-0603E-1070N_1413,agriculture clear habitation haze primary water
L15-0603E-1070N_1414,agriculture clear habitation primary road water
L15-0603E-1070N_1415,agriculture clear haze primary water
L15-0603E-1070N_142,agriculture clear cultivation haze primary road
L15-0603E-1070N_143,agriculture cultivation haze primary
L15-0603E-1070N_144,agriculture clear haze primary
L15-0603E-1070N_145,agriculture clear cultivation haze primary
L15-0603E-1070N_146,agriculture clear haze primary
L15-0603E-1070N_147,agriculture clear haze primary water
L15-0603E-1070N_148,agriculture clear habitation haze primary water
L15-0603E-1070N_149,agriculture clear habitation haze primary road water
L15-0603E-1070N_15,agriculture clear cultivation haze primary
L15-0603E-1070N_150,agriculture clear haze primary road water
L15-0603E-1070N_151,agriculture clear haze primary
L15-0603E-1070N_1510,agriculture clear haze primary water
L15-0603E-1070N_1511,agriculture clear haze primary water
L15-0603E-1070N_1512,agriculture clear cultivation haze primary water
L15-0603E-1070N_1513,agriculture clear haze primary water
L15-0603E-1070N_1514,agriculture clear habitation haze primary road water
L15-0603E-1070N_1515,agriculture clear haze primary
L15-0603E-1070N_152,agriculture clear cultivation haze primary road
L15-0603E-1070N_153,agriculture clear cultivation habitation haze primary water
L15-0603E-1070N_154,agriculture clear cultivation haze primary
L15-0603E-1070N_155,agriculture clear haze primary
L15-0603E-1070N_156,agriculture clear haze primary
L15-0603E-1070N_157,agriculture clear haze primary road
L15-0603E-1070N_158,agriculture clear habitation haze primary road water
L15-0603E-1070N_159,agriculture clear haze primary water
L15-0603E-1070N_16,agriculture clear cultivation haze primary
L15-0603E-1070N_17,agriculture clear cultivation primary water
L15-0603E-1070N_18,agriculture clear cultivation habitation primary road water
L15-0603E-1070N_19,agriculture clear habitation haze primary water
L15-0603E-1070N_20,agriculture clear cultivation haze primary
L15-0603E-1070N_21,agriculture clear haze primary
L15-0603E-1070N_210,agriculture clear haze primary water
L15-0603E-1070N_211,agriculture clear haze primary
L15-0603E-1070N_212,agriculture clear cultivation haze primary road water
L15-0603E-1070N_213,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_214,agriculture clear haze primary
L15-0603E-1070N_215,agriculture clear cultivation haze primary water
L15-0603E-1070N_22,agriculture clear primary road
L15-0603E-1070N_23,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_24,agriculture clear cultivation primary
L15-0603E-1070N_25,clear haze primary water
L15-0603E-1070N_26,agriculture clear cultivation haze primary
L15-0603E-1070N_27,agriculture clear primary water
L15-0603E-1070N_28,agriculture clear habitation primary water
L15-0603E-1070N_29,agriculture clear habitation haze primary water
L15-0603E-1070N_30,agriculture clear cultivation haze primary
L15-0603E-1070N_31,agriculture clear primary road
L15-0603E-1070N_310,agriculture clear cultivation habitation haze primary water
L15-0603E-1070N_311,agriculture clear cultivation haze primary water
L15-0603E-1070N_312,agriculture clear habitation haze primary road water
L15-0603E-1070N_313,agriculture clear habitation haze primary road
L15-0603E-1070N_314,agriculture clear haze primary
L15-0603E-1070N_315,agriculture clear haze primary water
L15-0603E-1070N_32,agriculture clear primary road
L15-0603E-1070N_33,agriculture clear cultivation haze primary
L15-0603E-1070N_34,agriculture clear cultivation haze primary
L15-0603E-1070N_35,agriculture clear cultivation haze primary
L15-0603E-1070N_36,agriculture clear cultivation haze primary road
L15-0603E-1070N_37,agriculture clear cultivation primary
L15-0603E-1070N_38,agriculture clear haze primary water
L15-0603E-1070N_39,agriculture clear primary water
L15-0603E-1070N_40,agriculture clear cultivation haze primary
L15-0603E-1070N_41,agriculture clear primary road
L15-0603E-1070N_410,agriculture clear cultivation haze primary
L15-0603E-1070N_411,agriculture clear haze primary road
L15-0603E-1070N_412,agriculture clear primary road water
L15-0603E-1070N_413,agriculture clear habitation primary road water
L15-0603E-1070N_414,agriculture clear primary road
L15-0603E-1070N_415,agriculture clear haze primary water
L15-0603E-1070N_42,agriculture clear haze primary road
L15-0603E-1070N_43,agriculture clear cultivation haze primary
L15-0603E-1070N_44,agriculture clear haze primary
L15-0603E-1070N_45,agriculture clear haze primary
L15-0603E-1070N_46,agriculture clear haze primary
L15-0603E-1070N_47,agriculture clear haze primary
L15-0603E-1070N_48,agriculture clear habitation haze primary water
L15-0603E-1070N_49,agriculture clear haze primary water
L15-0603E-1070N_50,agriculture clear haze primary road water
L15-0603E-1070N_51,agriculture clear haze primary road
L15-0603E-1070N_510,agriculture clear habitation haze primary water
L15-0603E-1070N_511,agriculture clear cultivation haze primary water
L15-0603E-1070N_512,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_513,agriculture clear primary road
L15-0603E-1070N_514,agriculture clear haze primary road
L15-0603E-1070N_515,agriculture clear haze primary road water
L15-0603E-1070N_52,agriculture clear cultivation haze primary
L15-0603E-1070N_53,agriculture clear cultivation haze primary road
L15-0603E-1070N_54,agriculture clear cultivation haze primary
L15-0603E-1070N_55,clear haze primary
L15-0603E-1070N_56,agriculture clear haze primary
L15-0603E-1070N_57,agriculture clear haze primary
L15-0603E-1070N_58,agriculture clear habitation haze primary water
L15-0603E-1070N_59,agriculture clear habitation haze primary water
L15-0603E-1070N_60,agriculture cultivation haze primary water
L15-0603E-1070N_61,agriculture clear cultivation haze primary
L15-0603E-1070N_610,agriculture clear haze primary road water
L15-0603E-1070N_611,agriculture clear cultivation haze primary road
L15-0603E-1070N_612,agriculture clear haze primary road water
L15-0603E-1070N_613,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_614,agriculture clear haze primary road water
L15-0603E-1070N_615,agriculture clear haze primary road water
L15-0603E-1070N_62,agriculture clear cultivation haze primary
L15-0603E-1070N_63,agriculture clear cultivation haze primary
L15-0603E-1070N_64,agriculture clear cultivation haze primary water
L15-0603E-1070N_65,agriculture clear haze primary
L15-0603E-1070N_66,agriculture clear haze primary road
L15-0603E-1070N_67,agriculture clear haze primary
L15-0603E-1070N_68,agriculture clear habitation haze primary road water
L15-0603E-1070N_69,agriculture clear habitation haze primary road water
L15-0603E-1070N_70,agriculture clear cultivation haze primary water
L15-0603E-1070N_71,agriculture clear cultivation haze primary
L15-0603E-1070N_710,agriculture clear cultivation haze primary
L15-0603E-1070N_711,agriculture clear habitation haze primary road water
L15-0603E-1070N_712,agriculture clear primary road water
L15-0603E-1070N_713,agriculture clear haze primary road water
L15-0603E-1070N_714,agriculture clear cultivation haze primary road water
L15-0603E-1070N_715,agriculture clear haze primary
L15-0603E-1070N_72,agriculture clear cultivation haze primary
L15-0603E-1070N_73,agriculture clear cultivation haze primary
L15-0603E-1070N_74,agriculture cultivation habitation haze primary
L15-0603E-1070N_75,agriculture clear cultivation haze primary water
L15-0603E-1070N_76,agriculture clear cultivation haze primary water
L15-0603E-1070N_77,agriculture clear cultivation haze primary
L15-0603E-1070N_78,agriculture clear haze primary road
L15-0603E-1070N_79,agriculture clear habitation haze primary road water
L15-0603E-1070N_80,agriculture clear cultivation haze primary
L15-0603E-1070N_81,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_810,agriculture clear habitation haze primary road
L15-0603E-1070N_811,agriculture clear habitation haze primary road water
L15-0603E-1070N_812,agriculture clear habitation haze primary road water
L15-0603E-1070N_813,agriculture clear haze primary road
L15-0603E-1070N_814,agriculture clear haze primary
L15-0603E-1070N_815,agriculture clear haze primary
L15-0603E-1070N_82,agriculture clear cultivation haze primary road
L15-0603E-1070N_83,agriculture clear cultivation haze primary
L15-0603E-1070N_84,agriculture clear cultivation habitation haze primary road water
L15-0603E-1070N_85,agriculture clear cultivation haze primary road
L15-0603E-1070N_86,agriculture clear haze primary road
L15-0603E-1070N_87,agriculture clear habitation primary road
L15-0603E-1070N_88,agriculture clear haze primary road water
L15-0603E-1070N_89,agriculture clear habitation haze primary water
L15-0603E-1070N_90,agriculture clear cultivation haze primary
L15-0603E-1070N_91,agriculture clear cultivation haze primary water
L15-0603E-1070N_910,agriculture clear cultivation haze primary road
L15-0603E-1070N_911,agriculture clear habitation primary road water
L15-0603E-1070N_912,agriculture clear habitation haze primary road
L15-0603E-1070N_913,agriculture clear haze primary road
L15-0603E-1070N_914,agriculture clear haze primary
L15-0603E-1070N_915,agriculture clear haze primary
L15-0603E-1070N_92,agriculture clear cultivation habitation haze primary
L15-0603E-1070N_93,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_94,agriculture clear cultivation haze primary road water
L15-0603E-1070N_95,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_96,agriculture clear cultivation habitation haze primary road
L15-0603E-1070N_97,agriculture clear cultivation haze primary water
L15-0603E-1070N_98,agriculture clear haze primary water
L15-0603E-1070N_99,agriculture clear habitation haze primary water
L15-0603E-1071N_00,agriculture clear cultivation haze primary road
L15-0603E-1071N_01,agriculture clear cultivation habitation haze primary
L15-0603E-1071N_010,agriculture clear primary road
L15-0603E-1071N_011,agriculture clear habitation primary road water
L15-0603E-1071N_012,agriculture clear habitation primary road
L15-0603E-1071N_013,agriculture clear cultivation haze primary
L15-0603E-1071N_014,agriculture clear haze primary
L15-0603E-1071N_015,agriculture clear haze primary
L15-0603E-1071N_02,agriculture cultivation haze primary road water
L15-0603E-1071N_03,agriculture clear cultivation habitation haze primary road water
L15-0603E-1071N_04,agriculture clear cultivation haze primary
L15-0603E-1071N_05,agriculture clear cultivation haze primary
L15-0603E-1071N_06,clear haze primary
L15-0603E-1071N_07,clear haze primary
